manga,stem,method,iou,precision,recall,f1,tp,fp,fn,inference_time_seconds
GarakutayaManta,001,standin,0.03229735626155685,0.03459568086839361,0.32712406069156136,0.0625737459573103,45448,1268242,93484,0.0
GarakutayaManta,002,standin,0.0035803075884066355,0.0036277651680170493,0.21487765602293704,0.007135069433576429,5471,1502620,19990,0.0
GarakutayaManta,003,standin,0.008548654024262484,0.00882793984006101,0.21273122959738847,0.01695238794906335,14076,1580407,52092,0.0
GarakutayaManta,004,standin,0.008637056380484962,0.008892214492734682,0.231360413514019,0.0171261928675895,13607,1516608,45206,0.0
GarakutayaManta,005,standin,0.00664334604114464,0.006779494140027498,0.24857533328176168,0.013199006514613382,9640,1412295,29141,0.0
GarakutayaManta,006,standin,0.00812885446312006,0.008374337456607145,0.2171019038587789,0.016126617995571784,11905,1409700,42931,0.0
GarakutayaManta,007,standin,0.010986994617840555,0.01138550011698756,0.23890932698550096,0.021735184876426047,17664,1533783,56272,0.0
GarakutayaManta,008,standin,0.002950208544495207,0.0029940536507689053,0.1676800748362956,0.005883060832654132,4302,1432546,21354,0.0
GarakutayaManta,009,standin,0.004699555440345647,0.004766766766766767,0.24998250157485827,0.009355145854097444,7143,1491357,21431,0.0
GinNoChimera,000,standin,0.01555747673960048,0.016589987095771436,0.19998186859262504,0.030638298857386247,26471,1569130,105896,0.0
GinNoChimera,001,standin,0.0023778943891967267,0.0023913556920170053,0.29697525206232817,0.004744506842193895,3888,1621968,9204,0.0
GinNoChimera,002,standin,0.00036274563641749627,0.0003692986082403197,0.020033317671180214,0.0007252281994702277,469,1269506,22942,0.0
GinNoChimera,003,standin,0.0025949786491527463,0.002609483158960426,0.3182709657174237,0.005176524328197001,4057,1550657,8690,0.0
GinNoChimera,004,standin,0.003018872088090994,0.0030501909698244763,0.22720981730946668,0.006019571858715454,4925,1609728,16751,0.0
GinNoChimera,005,standin,0.003847666574550475,0.0038830828124837265,0.29669746673150893,0.007665837562147142,6711,1721555,15908,0.0
GinNoChimera,006,standin,0.0017687285920586235,0.0017757871068509795,0.30794805194805197,0.003531211429497291,2964,1666155,6661,0.0
GinNoChimera,007,standin,0.003547085825566838,0.0035731885453077834,0.3268526497199483,0.007069096957516113,6069,1692414,12499,0.0
GinNoChimera,008,standin,0.0002335068918211966,0.00023364604085098831,0.28165199729180773,0.00046690475816353795,416,1780055,1061,0.0
GinNoChimera,009,standin,0.004542269732249596,0.004586527346390675,0.32006405856783343,0.009043461622496562,6995,1518124,14860,0.0
Hamlet,000,standin,0.028266171236725073,0.03320151028738373,0.15977333228938304,0.05497831597966223,32650,950739,171702,0.0
Hamlet,001,standin,0.02239813469687314,0.022544391109922145,0.7754077791718946,0.04381489741961213,29664,1286140,8592,0.0
Hamlet,002,standin,0.008540475546468881,0.008783419282978367,0.23592582508999607,0.016936306977350216,15598,1760248,50516,0.0
Hamlet,003,standin,0.01117812889267685,0.01131208261743907,0.48558801865946477,0.02210911920121892,19778,1728618,20952,0.0
Hamlet,004,standin,0.0019115512771383475,0.002006169408813268,0.0389515264080362,0.0038158084407784094,2978,1481443,73476,0.0
Hamlet,005,standin,0.05465674634583927,0.05641950225776054,0.6362798697708705,0.1036484079492465,10358,173231,5921,0.0
Hamlet,006,standin,0.0044130070848555185,0.0044508268590409275,0.3418218674775117,0.00878723603483302,5396,1206963,10390,0.0
Hamlet,007,standin,0.005085800200037573,0.00512849869544921,0.3792110315936464,0.010120131433605708,8690,1685763,14226,0.0
Hamlet,008,standin,0.0034883403012965523,0.0035075032720361925,0.3896819600292145,0.006952428167225502,5869,1667401,9192,0.0
Hamlet,009,standin,0.0054668010295818616,0.0055458653359351726,0.27717556787040987,0.010874155216231795,9103,1632300,23739,0.0
HanzaiKousyouninMinegishiEitarou,000,standin,0.0409845213535076,0.043915508611987494,0.38045142565493284,0.07874184584458328,49943,1087309,81330,0.0
HanzaiKousyouninMinegishiEitarou,001,standin,0.029133712689249986,0.03025640869345248,0.4398220757241465,0.056617934734875405,49637,1590908,63220,0.0
HanzaiKousyouninMinegishiEitarou,002,standin,0.0011529898218829516,0.0011578415903020784,0.215780499147419,0.0023033239347126804,1392,1200845,5059,0.0
